filename,before,after
PEI_12_80710869.tif,0,0
PEI_12_80710880.tif,0,0
PEI_12_80710891.tif,0,0
PEI_12_80710902.tif,0,0
PEI_12_80710913.tif,0,0
PEI_12_80710924.tif,0,0
PEI_12_80710935.tif,0,0
PEI_12_80710946.tif,0,0
PEI_12_80710957.tif,0,0
PEI_12_80710968.tif,0,0
PEI_12_80710979.tif,0,0
PEI_12_80710990.tif,0,0
PEI_12_80711001.tif,0,0
PEI_12_80711012.tif,0,0
PEI_12_80711023.tif,0,0
PEI_12_80711034.tif,0,0
PEI_12_80711045.tif,0,0
PEI_12_80711056.tif,0,0
PEI_12_80711067.tif,0,0
PEI_12_80711078.tif,0,0
PEI_12_80711089.tif,0,0
PEI_12_80711100.tif,0,0
PEI_12_80711111.tif,0,0
PEI_12_80711122.tif,0,0
PEI_12_80711133.tif,0,0
PEI_12_80711144.tif,0,0
PEI_12_80711155.tif,0,0
PEI_12_80711166.tif,0,0
PEI_12_80711177.tif,0,0
PEI_12_80711188.tif,0,0
PEI_12_80711199.tif,0,0
PEI_12_80711210.tif,0,0
PEI_12_80711221.tif,0,0
PEI_12_80711232.tif,0,0
PEI_12_80711243.tif,0,0
PEI_12_80711254.tif,0,0
PEI_12_80711265.tif,0,0
PEI_12_80711276.tif,0,0
PEI_12_80711287.tif,0,0
PEI_12_80711298.tif,0,0
PEI_12_80711309.tif,0,0
PEI_12_80711320.tif,0,0
PEI_12_80711331.tif,0,0
PEI_12_80711342.tif,0,0
PEI_12_80711353.tif,0,0
PEI_12_80711364.tif,0,0
PEI_12_80711375.tif,0,0
PEI_12_80711386.tif,0,0
PEI_12_80711397.tif,0,0
PEI_12_80711408.tif,0,0
PEI_12_80711419.tif,0,0
PEI_12_80711430.tif,0,0
PEI_12_80711441.tif,0,0
PEI_12_80711452.tif,0,0
PEI_12_80711463.tif,1,1
PEI_12_80711474.tif,1,1
PEI_12_80711485.tif,1,1
PEI_12_80711496.tif,1,1
PEI_12_80711507.tif,1,1
PEI_12_80711518.tif,1,1
PEI_12_80711529.tif,1,1
PEI_12_80711540.tif,1,1
PEI_12_80711551.tif,0,0
PEI_12_80711562.tif,0,0
PEI_12_80711573.tif,0,0
PEI_12_80711584.tif,0,0
PEI_12_80711595.tif,0,0
PEI_12_80711606.tif,0,0
PEI_12_80711617.tif,0,0
PEI_12_80711628.tif,0,0
PEI_12_80711639.tif,0,0
PEI_12_80711650.tif,0,0
PEI_12_80711661.tif,0,0
PEI_12_80711672.tif,0,0
PEI_12_80711683.tif,0,0
PEI_12_80711694.tif,0,0
PEI_12_80711705.tif,0,0
PEI_12_80711716.tif,0,0
PEI_12_80711727.tif,0,0
PEI_12_80711738.tif,0,0
PEI_12_80711749.tif,0,0
PEI_12_80711760.tif,0,0
PEI_12_80711771.tif,0,0
PEI_12_80711782.tif,0,0
PEI_12_80711793.tif,0,0
PEI_12_80711804.tif,0,0
PEI_12_80711815.tif,0,0
PEI_12_80711826.tif,0,0
PEI_12_80711837.tif,0,0
PEI_12_80711848.tif,0,0
PEI_12_80711859.tif,0,0
PEI_12_80711870.tif,0,0
PEI_12_80711881.tif,0,0
PEI_12_80711892.tif,0,0
PEI_12_80711903.tif,0,0
PEI_12_80711914.tif,0,0
PEI_12_80711925.tif,0,0
PEI_12_80711936.tif,0,0
PEI_12_80711947.tif,0,0
PEI_12_80711958.tif,0,0
PEI_12_80711969.tif,0,0
PEI_12_80711980.tif,0,0
PEI_12_80711991.tif,0,0
PEI_12_80712002.tif,0,0
PEI_12_80712013.tif,0,0
PEI_12_80712024.tif,0,0
PEI_12_80712035.tif,0,0
PEI_12_80712046.tif,0,0
PEI_12_80712057.tif,0,0
PEI_12_80712068.tif,0,0
PEI_12_80712079.tif,0,0
PEI_12_80712090.tif,0,0
PEI_14_83086518.tif,0,0
PEI_14_83086529.tif,0,0
PEI_14_83086540.tif,0,0
PEI_14_83086551.tif,0,0
PEI_14_83086562.tif,0,0
PEI_14_83086573.tif,0,0
PEI_14_83086584.tif,0,0
PEI_14_83086595.tif,0,0
PEI_14_83086606.tif,0,0
PEI_14_83086617.tif,0,0
PEI_14_83086628.tif,0,0
PEI_14_83086639.tif,0,0
PEI_14_83086650.tif,0,0
PEI_14_83086661.tif,0,0
PEI_14_83086672.tif,0,0
PEI_14_83086683.tif,0,0
PEI_14_83086694.tif,0,0
PEI_14_83086705.tif,0,0
PEI_14_83086716.tif,0,0
PEI_14_83086727.tif,0,0
PEI_14_83086738.tif,0,0
PEI_14_83086749.tif,0,0
PEI_14_83086760.tif,0,0
PEI_14_83086771.tif,0,0
PEI_14_83086782.tif,0,0
PEI_14_83086793.tif,0,0
PEI_14_83086804.tif,0,0
PEI_14_83086815.tif,0,0
PEI_14_83086826.tif,0,0
PEI_14_83086837.tif,0,0
PEI_14_83086848.tif,0,0
PEI_14_83086859.tif,0,0
PEI_14_83086870.tif,0,0
PEI_14_83086881.tif,0,0
PEI_14_83086892.tif,0,0
PEI_14_83086903.tif,0,0
PEI_14_83086914.tif,0,0
PEI_14_83086925.tif,0,0
PEI_14_83086936.tif,0,0
PEI_14_83086947.tif,0,0
PEI_14_83086958.tif,0,0
PEI_14_83086969.tif,0,0
PEI_14_83086980.tif,0,0
PEI_14_83086991.tif,0,0
PEI_14_83087002.tif,0,0
PEI_14_83087013.tif,0,0
PEI_14_83087024.tif,0,0
PEI_14_83087035.tif,0,0
PEI_14_83087046.tif,0,0
PEI_14_83087057.tif,0,0
PEI_14_83087068.tif,0,0
PEI_14_83087079.tif,0,0
PEI_14_83087090.tif,0,0
PEI_14_83087101.tif,1,1
PEI_14_83087112.tif,1,1
PEI_14_83087123.tif,1,1
PEI_14_83087134.tif,1,1
PEI_14_83087145.tif,1,1
PEI_14_83087156.tif,1,1
PEI_14_83087167.tif,1,1
PEI_14_83087178.tif,1,1
PEI_14_83087189.tif,0,0
PEI_14_83087200.tif,0,0
PEI_14_83087211.tif,0,0
PEI_14_83087222.tif,0,0
PEI_14_83087233.tif,0,0
PEI_14_83087244.tif,0,0
PEI_14_83087255.tif,0,0
PEI_14_83087266.tif,0,0
PEI_14_83087277.tif,0,0
PEI_14_83087288.tif,0,0
PEI_14_83087299.tif,0,0
PEI_14_83087310.tif,0,0
PEI_14_83087321.tif,0,0
PEI_14_83087332.tif,0,0
PEI_14_83087343.tif,0,0
PEI_14_83087354.tif,0,0
PEI_14_83087365.tif,0,0
PEI_14_83087376.tif,0,0
PEI_14_83087387.tif,0,0
PEI_14_83087398.tif,0,0
PEI_14_83087409.tif,0,0
PEI_14_83087420.tif,0,0
PEI_14_83087431.tif,0,0
PEI_14_83087442.tif,0,0
